0.9972,0.99847,0.99892,0.99915,0.9993,0.99941,0.99949,0.99957,0.99964,0.99971,0.99977,0.99983,0.99989,0.99995,1,1.0001,1.0001,1.0002,1.0002,1.0003,1.0003,1.0003,1.0004,1.0004,1.0004,1.0005,1.0005,1.0005,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0007,1.0007
0.99723,0.99851,0.99895,0.99918,0.99932,0.99943,0.99951,0.99958,0.99964,0.9997,0.99976,0.99981,0.99986,0.99991,0.99996,1,1,1.0001,1.0001,1.0002,1.0002,1.0003,1.0003,1.0003,1.0004,1.0004,1.0004,1.0004,1.0004,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005,1.0005
0.99727,0.99854,0.99897,0.9992,0.99934,0.99945,0.99952,0.99959,0.99964,0.99969,0.99975,0.99979,0.99984,0.99988,0.99992,0.99996,1,1,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004,1.0004
0.9973,0.99856,0.999,0.99922,0.99936,0.99946,0.99954,0.9996,0.99965,0.9997,0.99974,0.99978,0.99982,0.99986,0.9999,0.99994,0.99997,1,1,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0004,1.0004,1.0004,1.0004,1.0004
0.99732,0.99859,0.99902,0.99924,0.99938,0.99948,0.99955,0.99961,0.99966,0.9997,0.99974,0.99978,0.99982,0.99985,0.99988,0.99991,0.99994,0.99997,1,1,1.0001,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003
0.99735,0.99861,0.99904,0.99926,0.9994,0.99949,0.99956,0.99962,0.99966,0.9997,0.99974,0.99978,0.99981,0.99984,0.99987,0.9999,0.99993,0.99995,0.99998,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003
0.99737,0.99863,0.99906,0.99928,0.99941,0.99951,0.99957,0.99963,0.99967,0.99971,0.99974,0.99978,0.99981,0.99984,0.99986,0.99989,0.99991,0.99994,0.99996,0.99998,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
0.99738,0.99864,0.99907,0.99929,0.99943,0.99952,0.99959,0.99964,0.99968,0.99972,0.99975,0.99978,0.99981,0.99983,0.99986,0.99988,0.9999,0.99993,0.99995,0.99997,0.99998,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
0.9974,0.99866,0.99909,0.99931,0.99944,0.99953,0.9996,0.99965,0.99969,0.99973,0.99976,0.99978,0.99981,0.99983,0.99986,0.99988,0.9999,0.99992,0.99994,0.99995,0.99997,0.99999,1,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0002,1.0002
0.99742,0.99867,0.9991,0.99932,0.99945,0.99954,0.99961,0.99966,0.9997,0.99973,0.99976,0.99979,0.99981,0.99983,0.99985,0.99987,0.99989,0.99991,0.99993,0.99995,0.99996,0.99997,0.99999,1,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
0.99743,0.99868,0.99911,0.99933,0.99946,0.99955,0.99962,0.99967,0.99971,0.99974,0.99977,0.99979,0.99981,0.99983,0.99985,0.99987,0.99989,0.99991,0.99992,0.99994,0.99995,0.99997,0.99998,0.99999,1,1,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
0.99744,0.9987,0.99912,0.99934,0.99947,0.99956,0.99962,0.99967,0.99971,0.99975,0.99977,0.9998,0.99982,0.99984,0.99986,0.99987,0.99989,0.9999,0.99992,0.99993,0.99995,0.99996,0.99997,0.99998,0.99999,1,1,1,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
